Date,Open,High,Low,Close,Adj Close,Volume
2020-04-02,11.480000,13.910000,11.200000,12.770000,12.770000,79141600
2020-04-03,13.830000,14.200000,11.510000,13.000000,13.000000,92062300
2020-04-06,12.600000,13.500000,12.430000,13.440000,13.440000,52068100
2020-04-07,14.180000,15.200000,13.620000,13.840000,13.840000,54728600
2020-04-08,14.200000,15.680000,14.050000,15.560000,15.560000,48988600
2020-04-09,16.700001,18.270000,14.270000,15.360000,15.360000,110851100
2020-04-13,15.960000,16.020000,14.770000,15.330000,15.330000,43697500
2020-04-14,15.400000,15.820000,14.640000,14.900000,14.900000,40661000
2020-04-15,13.900000,13.900000,13.000000,13.610000,13.610000,47465200
2020-04-16,13.630000,13.660000,12.160000,12.200000,12.200000,40453900
2020-04-17,12.330000,13.650000,12.250000,13.630000,13.630000,51691000
2020-04-20,12.040000,13.220000,11.900000,12.590000,12.590000,74975500
2020-04-21,12.000000,12.390000,11.500000,12.340000,12.340000,62591200
2020-04-22,13.080000,13.370000,12.750000,13.020000,13.020000,44568100
2020-04-23,13.420000,14.400000,13.360000,13.870000,13.870000,55054600
2020-04-24,14.180000,14.500000,13.480000,13.810000,13.810000,41030000
2020-04-27,13.350000,14.290000,12.750000,14.150000,14.150000,39972500
2020-04-28,14.460000,15.260000,14.300000,15.170000,15.170000,46179400
2020-04-29,15.940000,16.879999,15.820000,16.780001,16.780001,59582800
2020-04-30,16.889999,17.240000,15.850000,16.600000,16.600000,44398500
2020-05-01,16.020000,16.420000,15.090000,15.240000,15.240000,36902400
2020-05-04,14.370000,15.570000,14.160000,15.520000,15.520000,37197400
2020-05-05,16.459999,16.809999,15.000000,15.320000,15.320000,49502200
2020-05-06,15.510000,15.960000,13.390000,13.400000,13.400000,57659000
2020-05-07,13.860000,14.520000,13.700000,13.880000,13.880000,35565400
2020-05-08,14.310000,15.050000,14.100000,15.020000,15.020000,31352400
2020-05-11,14.890000,15.250000,14.640000,15.030000,15.030000,22899400
2020-05-12,15.260000,15.380000,14.560000,14.580000,14.580000,27103700
2020-05-13,14.650000,14.650000,13.280000,13.440000,13.440000,35258100
2020-05-14,13.150000,14.150000,12.750000,13.760000,13.760000,32064000
2020-05-15,13.690000,14.280000,13.510000,13.820000,13.820000,27756400
2020-05-18,14.800000,15.230000,14.660000,15.070000,15.070000,39943800
2020-05-19,15.190000,15.190000,14.360000,14.370000,14.370000,28708600
2020-05-20,14.740000,15.150000,14.560000,14.990000,14.990000,29203100
2020-05-21,15.000000,15.160000,14.190000,14.250000,14.250000,35671400
2020-05-22,14.160000,14.240000,13.670000,14.130000,14.130000,26334300
2020-05-26,14.700000,14.770000,14.210000,14.400000,14.400000,28033000
2020-05-27,14.700000,14.700000,13.810000,14.420000,14.420000,31403000
2020-05-28,14.390000,14.430000,13.560000,13.640000,13.640000,39856900
2020-05-29,13.540000,13.540000,12.720000,12.950000,12.950000,61378500
2020-06-01,12.900000,13.900000,12.670000,13.810000,13.810000,36714900
2020-06-02,14.020000,14.750000,13.910000,14.750000,14.750000,40165900
2020-06-03,15.340000,15.610000,15.040000,15.450000,15.450000,41191600
2020-06-04,15.080000,15.700000,14.590000,15.550000,15.550000,39027900
2020-06-05,17.900000,20.850000,17.809999,20.790001,20.790001,118124800
2020-06-08,23.530001,23.830000,22.000000,22.410000,22.410000,61351241
